ell Cl Dl
94 1.630989027158290527e+00 2.318049094601889465e+03
95 1.479616167593127862e+00 2.147652629794328732e+03
96 1.657995704378559143e+00 2.457233909929605488e+03
97 1.746829508123969532e+00 2.642825333394522659e+03
98 1.380650151946955617e+00 2.131891249313189292e+03
99 1.788813628891017915e+00 2.818515459950751847e+03
100 1.711769084843333788e+00 2.751608763975536476e+03
101 1.745486430138420531e+00 2.861924378187377897e+03
102 1.767593400448169705e+00 2.955560811470699264e+03
103 1.574516734546813623e+00 2.684342803194582757e+03
104 1.878083065786749994e+00 3.264055741751996720e+03
105 1.366457511300176897e+00 2.420535342701500213e+03
106 1.610861913142336732e+00 2.907823806817126751e+03
107 1.574448475372393519e+00 2.895717011658613501e+03
108 1.982512662900762779e+00 3.714380195185404773e+03
109 1.590412719132729746e+00 3.034933329216291895e+03
110 1.727711209993550545e+00 3.357429845323246354e+03
111 1.386475591647208905e+00 2.743300366402108011e+03
112 1.523474255685557388e+00 3.068680810340665175e+03
113 1.260049582310125871e+00 2.583396466243216310e+03
114 1.165448383330025539e+00 2.431732880454409042e+03
115 1.556891235041272470e+00 3.305477725082946563e+03
116 1.644806165267341136e+00 3.552865017286733746e+03
117 1.890588902151920880e+00 4.154178033438571219e+03
118 1.620724089014141667e+00 3.622081244672433058e+03
119 1.501854052291486941e+00 3.413312646089915688e+03
120 1.263992506647202418e+00 2.920997917337535910e+03
121 1.785212609570254738e+00 4.194259321360943432e+03
122 1.434229398263376032e+00 3.425340062109531573e+03
123 1.508884461474564898e+00 3.662713206964196615e+03
124 1.224057054012283041e+00 3.019628326974648189e+03
125 1.426329103702109524e+00 3.575365405447867033e+03
126 1.428997374504509255e+00 3.639366797075364047e+03
127 1.437025332701753699e+00 3.717904640136379840e+03
128 1.344425027378252757e+00 3.533103826605828090e+03
129 1.271457439083713226e+00 3.393556008776240105e+03
130 1.419274342367264907e+00 3.846813498066974262e+03
131 1.277232848451209879e+00 3.515081815298601668e+03
132 1.214881043693762930e+00 3.394528501127667369e+03
133 1.325002693846204505e+00 3.758316340398857847e+03
134 1.271105489691126245e+00 3.659656238729367942e+03
135 1.324306491767807570e+00 3.869735810763665540e+03
136 1.529729160731861048e+00 4.536220456555347482e+03
137 1.323149721834918857e+00 3.981335487977194134e+03
138 1.259332084013369935e+00 3.844627661695991264e+03
139 1.345327878384589670e+00 4.166689224245704281e+03
140 1.285271595862728766e+00 4.037961648741979843e+03
141 1.327488792070747436e+00 4.230176144012430996e+03
142 1.304919551396588329e+00 4.217239364304771698e+03
143 1.361490966525120694e+00 4.462039652188785112e+03
144 1.161340791651357396e+00 3.859315704404270036e+03
145 1.493993140174092904e+00 5.033726244130580199e+03
146 1.236027010125843484e+00 4.222000529096068021e+03
147 1.215076082141569813e+00 4.207291994534265541e+03
148 1.116267653942270899e+00 3.917747623423926598e+03
149 1.162825592840360134e+00 4.136302007563760526e+03
150 1.335529663429022795e+00 4.814396742700233517e+03
151 1.181614304303610696e+00 4.316347550881060670e+03
152 1.160458589101738047e+00 4.295213912808231726e+03
153 1.329859548749966702e+00 4.986984969525286033e+03
154 1.084618039255869970e+00 4.120494833640218530e+03
155 1.216243344057096110e+00 4.680550170260961750e+03
156 1.105831973455538630e+00 4.310558318712171058e+03
157 1.206969324507636943e+00 4.765111897865706851e+03
158 1.230808075975229343e+00 4.921128213315314497e+03
159 1.202403984485183486e+00 4.868415599703841508e+03
160 1.213540244056859674e+00 4.975310317711629068e+03
161 1.092108322544462773e+00 4.533428169953310316e+03
162 1.027478279873584199e+00 4.318126894544952847e+03
163 1.066571328342190039e+00 4.537759648225588535e+03
164 1.161597852061451830e+00 5.002691523496152513e+03
165 1.110370340230259822e+00 4.840386226418445403e+03
166 1.099671006281778052e+00 4.851851114642308858e+03
167 1.107467671212902127e+00 4.945121218698620396e+03
168 1.115680556604420781e+00 5.041456015457183639e+03
169 1.045187890030530697e+00 4.779144114413571515e+03
170 1.020832363969947254e+00 4.723017923201636222e+03
171 1.029584571611219967e+00 4.819552494437305540e+03
172 1.118055927067427513e+00 5.294905456282363957e+03
173 1.092766952874411279e+00 5.235317630667062076e+03
174 1.000174102367841211e+00 4.847111763885191976e+03
175 1.070768759724867181e+00 5.248878743372590179e+03
176 1.042039706589598991e+00 5.166427433325319726e+03
177 9.916632371441448379e-01 4.972532309967478795e+03
178 9.813830087270025704e-01 4.976588130916640694e+03
179 1.158026339289463191e+00 5.938326951661249950e+03
180 1.019487709331721836e+00 5.286317042420176222e+03
181 8.170831472590004418e-01 4.283870635846053119e+03
182 9.120445137359531884e-01 4.834578814630754096e+03
183 9.383962942572761090e-01 5.028926965455782920e+03
184 9.567124012182274262e-01 5.183117884531564414e+03
185 1.071187493426517756e+00 5.866381436608003241e+03
186 9.480240919033292579e-01 5.248002780835241538e+03
187 9.096601758377463876e-01 5.089777171653575351e+03
188 1.019895574130960991e+00 5.767604768653296560e+03
189 1.062612757350041237e+00 6.073101818728411672e+03
190 9.426165223783099512e-01 5.444301246060821541e+03
191 9.560281235484771045e-01 5.579886893787530425e+03
192 9.529093045701502174e-01 5.619921339866067683e+03
193 9.499342996381971993e-01 5.660733896613180150e+03
194 9.050217201934378508e-01 5.448983278560367580e+03
195 7.862691133159358525e-01 4.782797902935722959e+03
196 8.594713528363433497e-01 5.281701279412603071e+03
197 9.060245060368793402e-01 5.624598058900511205e+03
198 8.972721610564737826e-01 5.626814419996332617e+03
199 8.494783496241111731e-01 5.380907400010459241e+03
200 8.974315939884272009e-01 5.741793105657900924e+03
201 8.429033389536846332e-01 5.446848961957461142e+03
202 8.788662091763616013e-01 5.735751217190039824e+03
203 9.350522601739020834e-01 6.162858853466386790e+03
204 8.077275888882307076e-01 5.376121523697141129e+03
205 8.296848780031049753e-01 5.576406024192034238e+03
206 7.996210786529263093e-01 5.426776446805742125e+03
207 7.503420132554837751e-01 5.141775093886263676e+03
208 7.688097405148833774e-01 5.319228290382134219e+03
209 6.968981699279944708e-01 4.868050070589051757e+03
210 8.222883883576143083e-01 5.798905603896824687e+03
211 7.785321372808265972e-01 5.542618570401262332e+03
212 8.195767439143226696e-01 5.890134643316412621e+03
213 7.881453523121854099e-01 5.717679758393161137e+03
