Omega_m,H0,w,Chi_sq,Type
0.29425351854245874,70.08591165253756,-1.0557120059172616,1040.391726645664,2
0.29208322153454325,70.18626006309312,-1.0685684284686334,1041.7230443915757,2
0.29777788552666806,70.43393638669325,-1.0477095560975263,1035.5276463362802,1
0.3078050863799919,70.14656834289597,-1.0729552275812855,1035.57848043291,2
0.3108236716876471,70.23611633678225,-1.0654008309879595,1034.2795878965726,1
0.3128449825307595,70.29976934584526,-1.1146283572825426,1036.0050573609276,2
0.3203053887954204,70.63839534702959,-1.1499785228206738,1033.5535937167538,1
0.3225370660357602,70.63334521716591,-1.168910960029869,1033.9416997128446,2
0.32436751044759005,70.49399367323528,-1.1508714016624544,1033.2646516920352,1
0.3214066535590371,70.50507655661686,-1.134903400260211,1033.158469350303,1
0.31728638523473124,70.56006661976855,-1.1394953101612166,1033.699124358433,2
0.31912224040197296,70.43097672471214,-1.1532181444121452,1036.3744522963348,2
0.32758390798354475,70.48079601251476,-1.1924343017473233,1037.7558280243854,2
0.33129535736295335,70.84112785974146,-1.2250120423099058,1034.7088433875,1
0.3351425369967292,70.84541994895645,-1.2097549131967222,1033.9075125720333,1
0.3329214992558662,70.6162005130151,-1.2030798626552486,1033.9286322143755,2
0.32710005870342695,70.78144304512983,-1.2074696028183438,1034.9008181967752,2
0.3308569844732131,70.68592839999424,-1.1889750737802283,1033.1450315772058,1
0.32814644498924994,70.20547759506279,-1.1274402196949178,1034.4656570894824,2
0.3215051460295256,70.2028515260813,-1.132163262748013,1037.473282320646,2
0.3192266440805833,70.30465644872223,-1.1120275448095571,1033.7519318289126,1
0.3198516057115844,70.20826909712223,-1.0938567375851491,1034.0332558486339,2
0.32271235475748217,70.33128802580342,-1.1272956196901467,1033.7085952290468,1
0.32040733004987093,70.44219994762518,-1.1551586114845103,1035.7852073189583,2
0.32347226154405356,70.61468868314898,-1.1343969510815866,1034.2943230895862,1
0.32339689317013043,70.62824533135542,-1.1468008064697137,1033.5263123354257,1
0.3210622063888999,70.62794100445446,-1.1568316521099156,1033.6018371327032,2
0.31814466004782116,70.69926101119408,-1.1396276889547106,1034.3247612737032,2
0.3244566383460019,70.76726608001134,-1.1738444573948361,1033.9660996610396,1
0.3314401605730995,70.61881346215533,-1.1820289154354404,1032.9239590677603,1
0.33747878920533814,70.69805881596953,-1.180123467937061,1034.3952183898555,2
0.3332623835767558,70.47288790470367,-1.1533086713169851,1033.0077559102922,1
0.3325617198733532,70.74046487875479,-1.1713312032364733,1034.839100098416,2
0.33195692697493323,70.75689532727978,-1.15521417060953,1037.700444883024,2
0.33475271147914504,70.72557320857294,-1.1886228562922825,1033.4573959172276,1
0.3385807272414484,70.72911917183689,-1.1827044174435803,1035.1019160312512,2
0.3353934508396363,70.61311351375518,-1.211172188676534,1033.9506154547616,1
0.3412889713065317,70.61852097722466,-1.229064756325834,1033.7080441727735,1
0.34838211086938853,70.67591868224964,-1.2203434187367455,1033.0565167493219,1
0.3491629888571904,70.74955890848685,-1.261781885577579,1032.9664666090466,1
0.3583561366431478,70.56244097876119,-1.23472197223213,1033.226292324195,2
0.35026992429848935,70.28499362399144,-1.1884151364376312,1033.8352644136276,2
0.3401429772827408,70.5628338528836,-1.1722310101414037,1033.8018927625387,1
0.3372348922924177,70.44610799072326,-1.1519226977143584,1033.6334960246252,1
0.340358418404867,70.31177935062938,-1.193053059368005,1035.6813752392804,2
0.34073141557920394,70.37671862640015,-1.173104457972416,1033.0288369405084,1
0.34507938990145637,70.30381756456717,-1.1536515888888839,1034.4848660253,2
0.3421678831793245,70.225109951611,-1.1674361903297743,1034.4185315536747,1
0.34968933954833853,70.04209675648087,-1.1612120182953,1036.6803552887127,2
0.3547487395269001,70.02359587830996,-1.1537728912594123,1037.24879568063,2
0.36095543799308744,70.06201588937756,-1.1622771523198723,1038.2587691021272,2
0.36408541470036326,70.2580033333235,-1.1787906338224692,1039.1817149163876,2
0.35502128544733597,70.22964961520243,-1.1642113741322837,1036.3425546995927,1
0.3620580428718787,70.12055010738948,-1.1491251230090658,1041.4198925186884,2
0.35032265105579774,70.069970381456,-1.1860135657396302,1038.0323259869801,1
0.3483433647108439,70.01426959464254,-1.1611755175259617,1037.4755944515296,1
0.3541321058856653,70.03310507462706,-1.1428626966325268,1037.7382751234718,2
0.34819016578165835,70.06998010927464,-1.1712898487102996,1036.950377612975,1
0.3475006709712799,70.08374806168472,-1.1785606304731409,1037.546961380594,2
0.3464539701795336,70.31108021735334,-1.1510046084686854,1035.313882360241,1
0.34479669990293915,70.12826225663746,-1.1395270786416882,1035.3235537723692,2
0.34858097509066466,70.195421459231,-1.1622008054864406,1034.6728840534927,1
0.34981809415776477,70.31908666362445,-1.1656294638939355,1034.8912599322753,2
0.33736619527711226,70.56128339340695,-1.1876125674417402,1032.6186011932818,1
0.33283746962454763,70.50303552948968,-1.1810472711321214,1033.2926256964163,2
