H0,Omega_m,Omega_r,Chi_sq,Type
70.01214279554975,0.2904339232319866,0.00012145039742035698,1036.1780841208547,2.0
70.09612063882119,0.2872865812892288,0.00011861400524079541,1035.7740720142217,1.0
70.12546445065138,0.2795987753673801,0.0001190018343651625,1036.441305583816,2.0
70.10892432087422,0.2900967210429385,0.00013148588837448753,1035.9156322272684,1.0
70.2014115675523,0.28164647097401685,0.0001289944851522674,1035.7177313365678,1.0
70.28552236220267,0.2814011449507367,0.00013134482751153212,1036.080085491251,2.0
69.95504574777931,0.28535516463843624,0.00011925654912580696,1037.8382275394197,2.0
70.01135031150925,0.28966967850346154,0.00013103275056840352,1036.2159948242036,1.0
70.01327234792825,0.291673895295858,0.00012172370669972802,1036.161472861441,1.0
70.15991778272692,0.2892512717823008,0.00012957417562310485,1036.0464568525758,1.0
70.20568539466896,0.28807548218128337,0.00012629375390174854,1036.235846471362,2.0
70.28533108706031,0.2878079081438857,0.00012157962656607014,1037.3232535974553,2.0
69.96289925518693,0.2896214783144755,0.0001169658749426369,1036.7937439865268,1.0
70.27984153032719,0.283214995062928,0.00012679404324224684,1036.226856188284,1.0
70.02133431902915,0.28006527570814327,0.00012096240314930924,1038.1013554488961,2.0
70.13539243475549,0.27906043762011623,0.00011763893424371733,1036.4484054836898,1.0
70.0788212831608,0.2809515329151356,0.00012357506186177385,1036.7406959790928,2.0
69.87550867249462,0.2845474566013818,0.0001304022294745908,1040.2845829529874,2.0
70.17272192604487,0.28240748812748906,0.00016735643344496993,1035.710202488799,1.0
70.36443974560031,0.2854681752298925,0.00016594359296276515,1038.2711163830195,2.0
70.38519038053414,0.2790626270649513,0.000173987838246935,1037.0571739989127,1.0
70.27302064439141,0.28426867309362835,0.00015364829193389916,1036.3138497361124,1.0
70.30475104008515,0.2886985221378434,0.0001634463716432842,1038.0393848384763,2.0
70.36107991565491,0.28797817540415066,0.0001647208400324936,1039.1579570043286,2.0
70.04855801456522,0.28654339021067826,0.00018230882919401784,1036.1080294380454,1.0
69.9009109373204,0.2936344839552059,0.00019474609405832345,1037.2552433250753,2.0
70.05064709101062,0.2885199000723779,0.0001935759572841848,1035.959686996434,1.0
70.10593027045952,0.29674755661005614,0.00020042948332578878,1037.3755150077207,2.0
69.93326531671056,0.2912146670597091,0.00020402473199314418,1037.01357516213,1.0
70.12831587946286,0.29519788041779027,0.00018631683640824362,1037.1558487289117,2.0
69.83357946169652,0.3039833014143762,0.00018396962372706612,1038.3167357600157,2.0
69.84090484434392,0.30360028709790277,0.0001785785636089038,1038.208967783336,1.0
69.88984431776292,0.30917086327422383,0.00018236849576995165,1039.7498073394386,2.0
69.78402989830472,0.3028717254584664,0.00017316971684653483,1038.738178460098,1.0
69.9521027505883,0.30670217617240225,0.00016998870929750033,1039.2891430828618,2.0
69.89672075313256,0.3016812187270511,0.00018274294946995893,1037.6254702746885,1.0
69.9375394317027,0.29799210210429783,0.00018723002204078766,1036.948910255994,1.0
69.92024305187319,0.2981938269123487,0.00017406161446696428,1037.057686323626,2.0
69.97007045857079,0.2987440038950673,0.00016629557058408964,1036.9911886850275,1.0
69.99793594230988,0.3007317694503391,0.00016899285647270946,1037.564000140656,2.0
69.8249163255096,0.30504961293403005,0.0001793528521859323,1038.5423838424617,2.0
69.72620753992304,0.30970724395006644,0.00016761120694794838,1040.149742606996,2.0
69.86289838994988,0.3134787673068425,0.00016738373905264296,1041.4227525939982,2.0
69.9336129153186,0.3143250439855419,0.00017165342760816943,1042.987110277326,2.0
69.94325862338404,0.3085815038755303,0.00016516173586505342,1040.0087018765503,1.0
69.91595954312648,0.30867568190960826,0.00016902601390832584,1039.7556514402913,1.0
70.03978431503522,0.3021129292047086,0.00018544728678161854,1038.4700635235445,1.0
69.8766318208709,0.30629702057537506,0.0001747912212781205,1038.6994944248813,2.0
69.79088016078198,0.30720904124344317,0.00016300403856486163,1039.14646573659,2.0
69.63642316477858,0.3004237335057712,0.00018096596566851762,1042.6388964143282,2.0
69.76649097636445,0.2954789068743004,0.00017841347392664203,1039.833899504274,1.0
69.96372534216317,0.29403566357503313,0.00016904963563069863,1036.530325013051,1.0
69.89910988380741,0.2979475268186365,0.00017764581777154214,1037.197298174889,2.0
70.14108777287191,0.2946291624736733,0.00017775730642471545,1037.140452885236,1.0
70.06785128760701,0.30015028445200287,0.00018923890867373358,1038.081003785145,2.0
70.00006107860663,0.30237902963625074,0.0001780432695986746,1038.1147267543402,2.0
70.01243682949037,0.2898618297770219,0.00018105217443909635,1036.190933604386,1.0
69.94768147394205,0.289977104108997,0.00018414526554329735,1036.9573114411346,2.0
70.08772559616291,0.2923010907672162,0.00018672918487119713,1036.147214425526,1.0
69.98425035797067,0.28970965351253825,0.00018302253084638445,1036.4874665200414,2.0
70.11598188084079,0.286833968691395,0.0001806019864603413,1035.7230829662471,1.0
70.04336119659952,0.28407708854309516,0.00019478202302076778,1036.5288164385634,2.0
70.01395592617523,0.285875805082191,0.00019990534958884323,1036.6100642670142,2.0
70.22740824168085,0.2867682848022307,0.00020697302638060197,1036.2412166331596,1.0
70.25015282342962,0.2854742287948696,0.00019888503691667994,1036.261210812538,2.0
70.1513339979164,0.2906174601890562,0.0002088403900712237,1036.2421055694435,1.0
69.99960431350699,0.2876450720379834,0.00018358432692377116,1036.534024818292,2.0
69.97054122684459,0.29129088584713003,0.00020584276391846413,1036.519300295076,1.0
70.05506031871109,0.28715642723914586,0.00020353294131749664,1035.9955065588656,1.0
69.97838291793128,0.28826776541835797,0.0002207372085423495,1036.7309659369926,2.0
70.06004302194405,0.28914295641496485,0.00023328584504828296,1035.901650249924,1.0
70.17187447591643,0.2909013311211086,0.00024577741104035114,1036.5149127456818,2.0
70.21589931226882,0.28601558086911716,0.00024198850244944596,1036.014086592023,1.0
70.04683674426143,0.2970126307817024,0.00024208187649169016,1036.9040280075674,2.0
70.15047676779191,0.29758965150578687,0.0002467893373529943,1038.4250559896645,2.0
70.13438711721639,0.29378185357395725,0.00023877599041403517,1036.834465882115,1.0
70.13165246067933,0.29313770399956174,0.00023986904410608237,1036.6352484339081,1.0
69.98714455816237,0.2917263081683886,0.00023654286990131053,1036.340086961321,1.0
70.11513728888613,0.29461495942360033,0.00023655404345927886,1036.8534012081834,2.0
69.94735977530952,0.3020584128263662,0.0002381514691620916,1037.7181737559963,2.0
70.09728528589736,0.29478615192556284,0.0002359325994842967,1036.7267605313318,1.0
70.0071284631355,0.28519099031868483,0.0002477428093168895,1036.829197949952,2.0
69.9960153702082,0.2878886191657628,0.0002527079293848994,1036.5305549758627,1.0
69.97082657024562,0.28855144808587163,0.00024976742067725195,1036.7926422122714,2.0
70.0461794699241,0.28954747756049115,0.00025700874768310914,1035.9654177595276,1.0
69.954094837342,0.28869185669826836,0.00026180478103042027,1037.0313363403257,2.0
70.24518400722798,0.29111021884749716,0.0002614537115995427,1037.713459602557,2.0
70.13845769235296,0.2924054111768159,0.0002494641730513486,1036.5265593257207,1.0
70.32772162048809,0.2845007507357788,0.0002413897610870039,1037.22469693699,2.0
70.32632689757861,0.2822946647637234,0.000225118315249461,1036.7022797695677,1.0
70.168626608138,0.28434914153811464,0.00021545873733157337,1035.6687937466475,1.0
