Omega_m,H0,Chi_sq,Type
0.29571863331533227,69.82592997019329,1038.404981406416,2.0
0.2909692094468789,70.05252896135966,1035.9746813528325,1.0
0.2854707699514779,70.05708052413655,1036.192031243862,2.0
0.28871655123998363,70.24152504894813,1036.793733198746,2.0
0.2900617621514385,70.07124747114464,1035.8912986139103,1.0
0.2828721684382497,70.34192041517245,1037.0121901055993,2.0
0.2767176645875079,70.22966155198984,1036.1872767389505,1.0
0.2858175040279756,70.02722720204827,1036.4995498504813,2.0
0.293079153411824,70.1808093468605,1037.1350011444622,2.0
0.27382465302080194,70.17325758636115,1037.5415545441963,2.0
0.27689097444145433,70.12052448020499,1037.3324684356576,1.0
0.27430534403025286,70.18335622588424,1037.2259660948407,1.0
0.2814655601655759,70.10795837154045,1036.2970924101592,1.0
0.28036904058881545,70.14689900658205,1036.1154120278816,1.0
0.280035995882537,70.36856663171312,1036.9157068636011,2.0
0.2776113272380095,70.31052259275182,1036.1259391282326,1.0
0.274902138087642,70.17921967501223,1037.0903744197917,2.0
0.27846319821518006,70.07797078581649,1037.5639011866701,2.0
0.280281135311224,70.2796063486144,1035.9674899376905,1.0
0.28697432136606243,70.14604971801229,1035.7289617842284,1.0
0.2877499082278169,69.97825862700222,1036.8843895792963,2.0
0.2891548738217855,69.93841841537622,1037.3066146454712,2.0
0.28821081229511464,70.21134643561778,1036.2896341124056,1.0
0.29435000962284924,69.9236479957838,1036.9258546303993,2.0
0.2908098351970482,69.98586991020366,1036.4129640126448,1.0
0.296489433299721,70.12301898925371,1037.415292763984,2.0
0.28703685153309216,70.00024479644388,1036.6720325323672,1.0
0.28786809505927796,70.10839829854855,1035.7566183310612,1.0
0.2865117639996545,70.12822701304782,1035.7093658264114,1.0
0.2915577240273265,70.09671666575419,1036.0372756531115,2.0
0.289717855868783,70.04568125943257,1035.9795885587769,1.0
0.2907723726860801,70.02268599092916,1036.1058129286082,2.0
0.2908571837747894,70.1809912390612,1036.525797286518,2.0
0.28380587912908484,70.07134475541281,1036.2873747227543,1.0
0.28033305473200787,70.16677524232077,1035.9735841775357,1.0
0.2777486525263173,70.02235509401235,1039.1234943781378,2.0
0.275057669323854,70.26284333786398,1036.3326187374214,1.0
0.2756533977512008,70.42383591531849,1037.2087296037835,2.0
0.2866243656907488,70.05634311852879,1036.0653990966907,1.0
0.28417296316059953,70.10229206708604,1035.93819560056,1.0
0.28624073797252636,70.28011429777348,1036.7672829019007,2.0
0.28977335869547505,70.17351409830572,1036.2167501972044,1.0
0.28771536093317673,69.99032320795347,1036.7051395778649,2.0
0.27997420884933233,70.29513641990368,1036.0615970105134,1.0
0.28252156861622907,70.14980854585119,1035.8102652469406,1.0
0.28191454635319657,70.3136448169758,1036.4237339779552,2.0
0.28208551789917086,70.30706667995504,1036.3666501734074,1.0
0.28145454666744035,70.18182918800674,1035.7787672830818,1.0
0.27952464129813154,70.21371716570216,1035.8671095134898,2.0
0.28091382386763375,70.51621581360817,1040.788803810517,2.0
0.2767729582208735,70.53211206563765,1039.7941882408252,1.0
0.26703486309973484,70.31834870428517,1038.17703088006,1.0
0.26778687394879874,70.57859759865839,1039.318846300148,2.0
0.27299983031852665,70.72602573325419,1045.4046849702265,2.0
0.27395912008152673,70.68252893553847,1043.9905487584494,1.0
0.26317411501569804,70.65810402296424,1040.7981901902845,1.0
